Processes: 384 total, 3 running, 381 sleeping, 1581 threads 
2019/10/10 08:50:40
Load Avg: 1.29, 1.31, 1.38 
CPU usage: 6.95% user, 9.56% sys, 83.47% idle 
SharedLibs: 322M resident, 50M data, 32M linkedit.
MemRegions: 80008 total, 3302M resident, 134M private, 1742M shared.
PhysMem: 11G used (2456M wired), 5439M unused.
VM: 2561G vsize, 1371M framework vsize, 839190(0) swapins, 1132923(0) swapouts.
Networks: packets: 473279/498M in, 596356/65M out.
Disks: 785930/11G read, 255904/8490M written.

PID   COMMAND          %CPU TIME     #TH    #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
3346  mdworker_shared  0.0  00:00.14 3      1   59+    4028K+ 0B     0B     3346 1    sleeping *0[1+]      0.00000 0.00000    501 8162+    221+   856+      357+      1841+     1066+     1130+     196+    0       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3345  mdworker_shared  0.0  00:00.14 3      1   59+    4088K+ 0B     0B     3345 1    sleeping *0[1+]      0.00000 0.00000    501 8225+    221+   827+      344+      1745+     1026+     1083+     246+    0       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3344  mdworker_shared  0.0  00:00.14 3      1   59+    3988K+ 0B     0B     3344 1    sleeping *0[1+]      0.00000 0.00000    501 8184+    221+   827+      344+      1682+     1019+     1032+     287+    0       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3343  iCloudUserNotifi 0.0  00:00.02 2      1   47+    1636K+ 0B     0B     3343 1    sleeping *0[5+]      0.00000 0.00000    501 3670+    159+   199+      64+       941+      445+      161+      7+      0       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3341  netbiosd         0.0  00:00.03 2      2   26+    2552K+ 0B     0B     3341 1    sleeping *0[1+]      0.00000 0.00000    222 3034+    156+   107+      30+       811+      232+      188+      30+     6       0.0   0      0      _netbios           N/A    N/A   N/A   N/A   N/A   N/A  
3305  sandboxd         0.0  00:00.32 4      3   67+    3688K+ 0B     0B     3305 1    sleeping *0[1+]      0.00000 0.00000    0   10368+   169+   1777+     811+      14504+    2312+     5311+     2558+   266     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
3197  distnoted        0.0  00:00.03 2      1   33+    2112K+ 0B     1724K+ 3197 1    sleeping *0[1+]      0.00000 0.00000    205 1132+    93+    274+      206+      818+      597+      288+      34+     1       0.0   0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
3195  ACCFinderSync    0.0  00:00.41 4      1   194+   13M+   0B     9712K+ 3195 1    sleeping *0[70+]     0.00000 0.00000    501 21034+   269+   4272+     1409+     7795+     9234+     6736+     93+     110     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3192  com.apple.appkit 0.0  00:04.53 5      3   457+   53M+   4096B+ 28M+   3192 1    sleeping *0[295+]    0.00000 0.00000    501 55855+   1485+  24323+    8930+     50534+    42697+    19453+    1864+   285     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3081  ACCFinderSync    0.0  00:00.50 4      1   206+   12M+   0B     8992K+ 3081 1    sleeping *0[103+]    0.00000 0.00000    501 20600+   269+   5618+     1916+     9208+     12648+    8063+     12+     220     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
